NOMBRE;PROGRAMA;SEMESTRE ;HORAS
TECNICAS DE INVESTIG. CRIMINAL;PROCEDIMIENTOS JUDICIALES  ;3;25
TECNICAS DE OFICINA;ASISTENTE EJECUTIVA EN ALTA GERENCIA;2;25
TELECOMUNICACIONES;MANTENIMIENTO DE COMPUTADORES;4;25
TEORIA DEL COLOR;DISEÑO GRAFICO Y PUBLICITARIO;2;25
TEORIA DEL PRODUCTO;MERCADEO Y PUBLICIDAD;2;25
TEORIA TURISTICA;HOTELERIA Y TURISMO;1;25
Algoritmos I ;INGENIERIA DE SISTEMAS;1;25
Introducción al Desarrollo de Software ;INGENIERIA DE SISTEMAS;1;25
Fundamentos de Administración ;INGENIERIA DE SISTEMAS;1;25
Matemáticas Discretas ;INGENIERIA DE SISTEMAS;1;25
Competencias Comunicativas;INGENIERIA DE SISTEMAS;1;25
Algoritmos II ;INGENIERIA DE SISTEMAS;2;25
Fundamentos de Programación ;INGENIERIA DE SISTEMAS;2;25
Ingeniería de Software 1 ;INGENIERIA DE SISTEMAS;2;25
Cálculo Diferencial ;INGENIERIA DE SISTEMAS;2;25
Constitución Política y Derechos Humanos ;INGENIERIA DE SISTEMAS;2;25
Metodología de la Investigación;INGENIERIA DE SISTEMAS;2;25
Estructura de Datos ;INGENIERIA DE SISTEMAS;3;25
Ingeniería de Software II ;INGENIERIA DE SISTEMAS;3;25
Lenguaje de Programación I ;INGENIERIA DE SISTEMAS;3;25
Física I ;INGENIERIA DE SISTEMAS;3;25
Ética;INGENIERIA DE SISTEMAS;3;25
Lenguaje de Programación II ;INGENIERIA DE SISTEMAS;4;25
Ingeniería de Software III ;INGENIERIA DE SISTEMAS;4;25
Organizaciones ;INGENIERIA DE SISTEMAS;4;25
Física II ;INGENIERIA DE SISTEMAS;4;25
Cálculo Integral ;INGENIERIA DE SISTEMAS;4;25
Ecología Humana y Ambiental;INGENIERIA DE SISTEMAS;4;25
Sistemas Operativos ;INGENIERIA DE SISTEMAS;5;25
Lenguaje de Programación III ;INGENIERIA DE SISTEMAS;5;25
Bases de Datos I ;INGENIERIA DE SISTEMAS;5;25
Electrónica ;INGENIERIA DE SISTEMAS;5;25
Ecuaciones Diferenciales;INGENIERIA DE SISTEMAS;5;25
Bases de Datos II ;INGENIERIA DE SISTEMAS;6;25
Arquitectura de Computadores ;INGENIERIA DE SISTEMAS;6;25
Redes y Comunicaciones ;INGENIERIA DE SISTEMAS;6;25
Álgebra Lineal ;INGENIERIA DE SISTEMAS;6;25
Estadística Descriptiva;INGENIERIA DE SISTEMAS;6;25
Arquitectura de Software ;INGENIERIA DE SISTEMAS;7;25
Gestión y Evaluación de Proyectos ;INGENIERIA DE SISTEMAS;7;25
Teleinformática ;INGENIERIA DE SISTEMAS;7;25
Métodos Numéricos ;INGENIERIA DE SISTEMAS;7;25
Programación Lineal ;INGENIERIA DE SISTEMAS;7;25
Estadística Probabilística;INGENIERIA DE SISTEMAS;7;25
Compiladores ;INGENIERIA DE SISTEMAS;8;25
Lenguaje de Programación Avanzado I ;INGENIERIA DE SISTEMAS;8;25
Gestión de Proyectos Informáticos ;INGENIERIA DE SISTEMAS;8;25
Administración de Personal ;INGENIERIA DE SISTEMAS;8;25
Modelos de Simulación;INGENIERIA DE SISTEMAS;8;25
Lenguaje de Programación Avanzado II ;INGENIERIA DE SISTEMAS;9;25
Gerencia de Sistemas ;INGENIERIA DE SISTEMAS;9;25
Derecho Informático ;INGENIERIA DE SISTEMAS;9;25
Auditoria de Sistemas ;INGENIERIA DE SISTEMAS;9;25
Investigación de Operaciones;INGENIERIA DE SISTEMAS;9;25
Línea de Énfasis I ;INGENIERIA DE SISTEMAS;10;25
Línea de Énfasis II ;INGENIERIA DE SISTEMAS;10;25
Línea de Énfasis III ;INGENIERIA DE SISTEMAS;10;25
Línea de Énfasis IV ;INGENIERIA DE SISTEMAS;10;25
Línea de Énfasis V ;INGENIERIA DE SISTEMAS;10;25
Práctica Empresarial;INGENIERIA DE SISTEMAS;10;25
Fundamentos de Administración ;CONTADURIA PUBLICA;10;25
Informática ;CONTADURIA PUBLICA;1;25
Competencias Comunicativas ;CONTADURIA PUBLICA;1;25
Ética ;CONTADURIA PUBLICA;1;25
Contabilidad Financiera I ;CONTADURIA PUBLICA;1;25
Cálculo I;CONTADURIA PUBLICA;1;25
Derecho Laboral y Comercial ;CONTADURIA PUBLICA;2;25
Electiva I ;CONTADURIA PUBLICA;2;25
Contabilidad Financiera II ;CONTADURIA PUBLICA;2;25
Constitución Política y Derechos Humanos ;CONTADURIA PUBLICA;2;25
Economía General ;CONTADURIA PUBLICA;2;25
Cálculo II;CONTADURIA PUBLICA;2;25
Gerencia Estratégica ;CONTADURIA PUBLICA;3;25
Matemáticas Financieras ;CONTADURIA PUBLICA;3;25
Contabilidad Financiera III ;CONTADURIA PUBLICA;3;25
Ecología Humana y Ambiental ;CONTADURIA PUBLICA;3;25
Costos I ;CONTADURIA PUBLICA;3;25
Cálculo III;CONTADURIA PUBLICA;3;25
Estadística Descriptiva ;CONTADURIA PUBLICA;3;25
Presupuestos ;CONTADURIA PUBLICA;4;25
Contabilidad Financiera IV ;CONTADURIA PUBLICA;4;25
Teoría Contable I ;CONTADURIA PUBLICA;4;25
Contabilidad y Presupuesto Público I ;CONTADURIA PUBLICA;4;25
Metodología de la Investigación Contable;CONTADURIA PUBLICA;4;25
Estadística Probabilística ;CONTADURIA PUBLICA;5;25
Administración de Impuestos de Renta ;CONTADURIA PUBLICA;5;25
Administración Iva y Retefuente ;CONTADURIA PUBLICA;5;25
Teoría Contable II ;CONTADURIA PUBLICA;5;25
Contabilidad y Presupuesto Público II ;CONTADURIA PUBLICA;5;25
Costos II;CONTADURIA PUBLICA;5;25
Análisis Financiero ;CONTADURIA PUBLICA;6;25
Gestión y Evaluación de Proyectos ;CONTADURIA PUBLICA;6;25
Métodos Cuantitativos ;CONTADURIA PUBLICA;6;25
Regulación Contable ;CONTADURIA PUBLICA;6;25
Teoría de las Restricciones ;CONTADURIA PUBLICA;6;25
Control I;CONTADURIA PUBLICA;6;25
Paradigmas y Programas de Investigación ;CONTADURIA PUBLICA;7;25
Seminario de Investigación Contable ;CONTADURIA PUBLICA;7;25
Econometría de Negocios ;CONTADURIA PUBLICA;7;25
Procedimientos y Planeación Tributaria ;CONTADURIA PUBLICA;7;25
Comercio Electrónico ;CONTADURIA PUBLICA;7;25
Gestión Financiera;CONTADURIA PUBLICA;7;25
Revisoría Fiscal ;CONTADURIA PUBLICA;8;25
Finanzas Corporativas y Mercado de Valores ;CONTADURIA PUBLICA;8;25
Aseguramiento de la Información ;CONTADURIA PUBLICA;8;25
Comercio Internacional ;CONTADURIA PUBLICA;8;25
Contabilidad Internacional y NIIF ;CONTADURIA PUBLICA;8;25
Marco Legal de la Revisoría Fiscal;CONTADURIA PUBLICA;8;25
Control en la Gestión Ambiental ;CONTADURIA PUBLICA;9;25
Control de Gestión ;CONTADURIA PUBLICA;9;25
Control Tributario ;CONTADURIA PUBLICA;9;25
Seminario de Investigación I ;CONTADURIA PUBLICA;9;25
Control en el Sector Público;CONTADURIA PUBLICA;9;25
Seminario de grado/ Diplomado Módulo I ;CONTADURIA PUBLICA;10;25
Seminario de grado/ Diplomado Módulo II ;CONTADURIA PUBLICA;10;25
Seminario de grado/ Diplomado Módulo III ;CONTADURIA PUBLICA;10;25
Seminario de grado/ Diplomado Módulo IV ;CONTADURIA PUBLICA;10;25
Seminario de grado/ Diplomado Módulo V;CONTADURIA PUBLICA;10;25
Fundamentos de Administración ;ADMNISTRACION DE NEGOCIOS INTERNACIONALES;1;25
Informática ;ADMNISTRACION DE NEGOCIOS INTERNACIONALES;1;25
Competencias Comunicativas ;ADMNISTRACION DE NEGOCIOS INTERNACIONALES;1;25
Ética ;ADMNISTRACION DE NEGOCIOS INTERNACIONALES;1;25
Contabilidad Financiera I ;ADMNISTRACION DE NEGOCIOS INTERNACIONALES;1;25
Cálculo I;ADMNISTRACION DE NEGOCIOS INTERNACIONALES;1;25
Electiva I - Inglés ;ADMNISTRACION DE NEGOCIOS INTERNACIONALES;2;25
Contabilidad Financiera II ;ADMNISTRACION DE NEGOCIOS INTERNACIONALES;2;25
Constitución Politica y Derechos Humanos ;ADMNISTRACION DE NEGOCIOS INTERNACIONALES;2;25
Economia General ;ADMNISTRACION DE NEGOCIOS INTERNACIONALES;2;25
Cálculo II;ADMNISTRACION DE NEGOCIOS INTERNACIONALES;2;25
Gerencia Estrategica ;ADMNISTRACION DE NEGOCIOS INTERNACIONALES;3;25
Matemáticas Financieras ;ADMNISTRACION DE NEGOCIOS INTERNACIONALES;3;25
Contabilidad Financiera III ;ADMNISTRACION DE NEGOCIOS INTERNACIONALES;3;25
Costos I ;ADMNISTRACION DE NEGOCIOS INTERNACIONALES;3;25
Cálculo III;ADMNISTRACION DE NEGOCIOS INTERNACIONALES;3;25
Estadística Descriptiva ;ADMNISTRACION DE NEGOCIOS INTERNACIONALES;4;25
Presupuestos ;ADMNISTRACION DE NEGOCIOS INTERNACIONALES;4;25
Electiva II - Inglés ;ADMNISTRACION DE NEGOCIOS INTERNACIONALES;4;25
Loe A Optativa I ;ADMNISTRACION DE NEGOCIOS INTERNACIONALES;4;25
Loe A Optativa II ;ADMNISTRACION DE NEGOCIOS INTERNACIONALES;4;25
Loe A Optativa III;ADMNISTRACION DE NEGOCIOS INTERNACIONALES;4;25
Estadística Probabilistica ;ADMNISTRACION DE NEGOCIOS INTERNACIONALES;5;25
Fundamentos de Mercadeo ;ADMNISTRACION DE NEGOCIOS INTERNACIONALES;5;25
Loe B Optativa I ;ADMNISTRACION DE NEGOCIOS INTERNACIONALES;5;25
Loe B Optativa II ;ADMNISTRACION DE NEGOCIOS INTERNACIONALES;5;25
Loe B Optativa III;ADMNISTRACION DE NEGOCIOS INTERNACIONALES;5;25
Semiótica del Mercado ;ADMNISTRACION DE NEGOCIOS INTERNACIONALES;6;25
Ecología Humana y Ambiental ;ADMNISTRACION DE NEGOCIOS INTERNACIONALES;6;25
Derecho Laboral y Comercial ;ADMNISTRACION DE NEGOCIOS INTERNACIONALES;6;25
Práctica Social I ;ADMNISTRACION DE NEGOCIOS INTERNACIONALES;6;25
Práctica Social II ;ADMNISTRACION DE NEGOCIOS INTERNACIONALES;6;25
Práctica Social III ;ADMNISTRACION DE NEGOCIOS INTERNACIONALES;6;25
Práctica Social IV;ADMNISTRACION DE NEGOCIOS INTERNACIONALES;6;25
Análisis Financiero ;ADMNISTRACION DE NEGOCIOS INTERNACIONALES;7;25
Gestión y Evaluación de Proyectos ;ADMNISTRACION DE NEGOCIOS INTERNACIONALES;7;25
Comportamiento del Mercado ;ADMNISTRACION DE NEGOCIOS INTERNACIONALES;7;25
Derecho Aduanero y Régimen Cambiario ;ADMNISTRACION DE NEGOCIOS INTERNACIONALES;7;25
Geoeconomía;ADMNISTRACION DE NEGOCIOS INTERNACIONALES;7;25
Econometría de Negocios ;ADMNISTRACION DE NEGOCIOS INTERNACIONALES;8;25
Contabilidad Internacional y NIIF ;ADMNISTRACION DE NEGOCIOS INTERNACIONALES;8;25
Relaciones Internacionales ;ADMNISTRACION DE NEGOCIOS INTERNACIONALES;8;25
Gestión Financiera ;ADMNISTRACION DE NEGOCIOS INTERNACIONALES;8;25
Electiva III - Inglés;ADMNISTRACION DE NEGOCIOS INTERNACIONALES;8;25
Comercio Internacional ;ADMNISTRACION DE NEGOCIOS INTERNACIONALES;9;25
Política Gerencial ;ADMNISTRACION DE NEGOCIOS INTERNACIONALES;9;25
Finanzas Corporativas y Mercadeo de Valores ;ADMNISTRACION DE NEGOCIOS INTERNACIONALES;9;25
Aseguramiento de la Información ;ADMNISTRACION DE NEGOCIOS INTERNACIONALES;9;25
Geopolítica;ADMNISTRACION DE NEGOCIOS INTERNACIONALES;9;25
Prospectiva de los Negocios ;ADMNISTRACION DE NEGOCIOS INTERNACIONALES;10;25
Comercio Electrónico Avanzado ;ADMNISTRACION DE NEGOCIOS INTERNACIONALES;10;25
Organizaciones ;ADMNISTRACION DE NEGOCIOS INTERNACIONALES;10;25
Práctica Social V ;ADMNISTRACION DE NEGOCIOS INTERNACIONALES;10;25
Práctica Social VI ;ADMNISTRACION DE NEGOCIOS INTERNACIONALES;10;25
Práctica Social VII ;ADMNISTRACION DE NEGOCIOS INTERNACIONALES;10;25
Seminario de grado*;ADMNISTRACION DE NEGOCIOS INTERNACIONALES;10;25
